PUBCHEM_SID,hERG inhibition (%) at 1uM,hERG inhibition (%) at 10uM,SMILES_unique_largest_fragment,SMILES_Original
85149100,17.4288,25.50008,C[C@@H]1CC[C@]2(C)CC[C@]3(C)C(=CC(=O)C4[C@@]5(C)CC[C@H](O)C(C)(C)C5CC[C@@]34C)[C@@H]2[C@H]1C,C[C@@H]1CC[C@]2(C)CC[C@]3(C)C(=CC(=O)C4[C@@]5(C)CC[C@H](O)C(C)(C)C5CC[C@@]34C)[C@@H]2[C@H]1C
85149099,6.84169999999999,-8.54012,CC(=O)O[C@H]1[C@H]2O[C@]22[C@@H]3CC[C@]4(O)C[C@@H](O)CC[C@]4(C)C3CC[C@]2(C)[C@H]1c1ccc(=O)oc1,CC(=O)O[C@H]1[C@H]2O[C@]22[C@@H]3CC[C@]4(O)C[C@@H](O)CC[C@]4(C)C3CC[C@]2(C)[C@H]1C1=COC(=O)C=C1
85149098,12.578,20.07598,OC[C@H]1O[C@@H](O[C@@H]2OC=C3C(=O)OCC=C3[C@H]2C=C)[C@H](O)[C@@H](O)[C@@H]1O,OC[C@H]1O[C@@H](O[C@@H]2OC=C3C(=O)OCC=C3[C@H]2C=C)[C@H](O)[C@@H](O)[C@@H]1O
85149096,13.6991,12.12598,Oc1ccc(cc1)[C@H]1Cc2cccc(O)c2C(=O)O1,OC1=CC=C(C=C1)[C@H]1CC2=C(C(O)=CC=C2)C(=O)O1
85149092,15.2114,22.78198,OC[C@@]1(O)CO[C@@H](OC[C@H]2O[C@@H](Oc3ccc4ccc(=O)oc4c3)[C@H](O)[C@@H](O)[C@@H]2O)[C@@H]1O,OC[C@@]1(O)CO[C@@H](OC[C@H]2O[C@@H](OC3=CC4=C(C=CC(=O)O4)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@@H]1O
85149091,14.7658,20.71558,CC(C)CNC(=O)\C=C\C=C\CCCC\C=C\c1ccc2OCOc2c1,CC(C)CNC(=O)\C=C\C=C\CCCC\C=C\C1=CC2=C(OCO2)C=C1
85149088,12.8967,17.24178,C[C@@H]1[C@@H](O)C[C@@H]2[C@H]1[C@H]1OC(=O)[C@@H](C)[C@@H]1[C@@H](O)CC2=C,C[C@@H]1[C@@H](O)C[C@@H]2[C@H]1[C@H]1OC(=O)[C@@H](C)[C@@H]1[C@@H](O)CC2=C
85149079,18.5201,29.25453,COC(=O)[C@@H]1OC(=O)[C@H]2O[C@@]22[C@@]1(C)CC[C@@H]1[C@@]3(C)C=CC(=O)OC(C)(C)[C@@H]3CC(=O)[C@@]21C,COC(=O)[C@@H]1OC(=O)[C@H]2O[C@@]22[C@@]1(C)CC[C@@H]1[C@@]3(C)C=CC(=O)OC(C)(C)[C@@H]3CC(=O)[C@@]21C
85149078,0.0751999999999953,17.85908,C[C@@]12CC[C@@H]3[C@@]4(C)C=CC(=O)OC(C)(C)[C@@H]4CC(=O)[C@@]3(C)[C@]11O[C@@H]1C(=O)O[C@H]2C(O)=O,C[C@@]12CC[C@@H]3[C@@]4(C)C=CC(=O)OC(C)(C)[C@@H]4CC(=O)[C@@]3(C)[C@]11O[C@@H]1C(=O)O[C@H]2C(O)=O
85149077,16.0615,26.63338,CC(C)(O)[C@@H]1CC(=O)[C@]2(C)[C@H](CC[C@@]3(C)[C@@H](OC(=O)[C@H]4O[C@@]234)c2ccoc2)[C@@]1(C)\C=C/C(O)=O,CC(C)(O)[C@@H]1CC(=O)[C@]2(C)[C@H](CC[C@@]3(C)[C@@H](OC(=O)[C@H]4O[C@@]234)C2=COC=C2)[C@@]1(C)\C=C/C(O)=O
85149076,9.451,-10.32012,C[C@@]12CC[C@@H]3[C@@]4(C)C=CC(=O)OC(C)(C)[C@@H]4CC(=O)[C@@]3(C)[C@]11O[C@@H]1C(=O)O[C@H]2c1ccoc1,C[C@@]12CC[C@@H]3[C@@]4(C)C=CC(=O)OC(C)(C)[C@@H]4CC(=O)[C@@]3(C)[C@]11O[C@@H]1C(=O)O[C@H]2C1=COC=C1
85149075,10.8364,2.18288,O=C(Cn1ccc(NC(=O)OCc2ccccc2)nc1=O)NCc1ccc2[nH]ccc2c1,O=C(CN1C=CC(NC(=O)OCC2=CC=CC=C2)=NC1=O)NCC1=CC2=C(NC=C2)C=C1
85149074,8.521,1.26458,O=C(Cn1cnc2c(NC(=O)OCc3ccccc3)ncnc12)NCCN1CCOCC1,O=C(CN1C=NC2=C1N=CN=C2NC(=O)OCC1=CC=CC=C1)NCCN1CCOCC1
85149073,0.392999999999994,-7.37632,O=C(Cn1cnc2c(NC(=O)OCc3ccccc3)ncnc12)NCc1ccccn1,O=C(CN1C=NC2=C1N=CN=C2NC(=O)OCC1=CC=CC=C1)NCC1=CC=CC=N1
85149072,-3.91940000000001,-36.36352,Cc1ccc(CNC(=O)Cn2cnc3c(NC(=O)OCc4ccccc4)ncnc23)o1,CC1=CC=C(CNC(=O)CN2C=NC3=C2N=CN=C3NC(=O)OCC2=CC=CC=C2)O1
85149070,20.65434,23.18538,COc1ccc(CN(C)C(=O)Cn2ccc(N)nc2=O)cc1OC,COC1=C(OC)C=C(CN(C)C(=O)CN2C=CC(N)=NC2=O)C=C1
85149069,12.6,14.99358,Nc1ccn(CC(=O)NCCc2ccccn2)c(=O)n1,NC1=NC(=O)N(CC(=O)NCCC2=CC=CC=N2)C=C1
85149068,18.4894,17.18488,Nc1ccn(CC(=O)N2CCN(CC2)c2ccccn2)c(=O)n1,NC1=NC(=O)N(CC(=O)N2CCN(CC2)C2=CC=CC=N2)C=C1
85149067,14.0907,7.12768,Nc1ccn(CC(=O)NCc2ccc3OCOc3c2)c(=O)n1,NC1=NC(=O)N(CC(=O)NCC2=CC3=C(OCO3)C=C2)C=C1
85149066,8.8938,6.62548,CC(CNC(=O)Cn1ccc(N)nc1=O)c1ccccc1,CC(CNC(=O)CN1C=CC(N)=NC1=O)C1=CC=CC=C1
85149065,11.9341,17.99678,C[C@@H](NC(=O)Cn1ccc(N)nc1=O)c1cccc2ccccc12,C[C@@H](NC(=O)CN1C=CC(N)=NC1=O)C1=CC=CC2=CC=CC=C12
85149064,7.6682,7.53278,Nc1ccn(CC(=O)NCCNc2ccc(cn2)[N+]([O-])=O)c(=O)n1,NC1=NC(=O)N(CC(=O)NCCNC2=NC=C(C=C2)[N+]([O-])=O)C=C1
85149063,22.0198,20.46328,Nc1ccn(CC(=O)NCc2ccc3[nH]ccc3c2)c(=O)n1,NC1=NC(=O)N(CC(=O)NCC2=CC3=C(NC=C3)C=C2)C=C1
85149062,23.3905,34.24808,Nc1ccn(CC(=O)N[C@H](CO)Cc2c[nH]c3ccccc23)c(=O)n1,NC1=NC(=O)N(CC(=O)N[C@H](CO)CC2=CNC3=CC=CC=C23)C=C1
85149061,17.0142,11.41208,COCCCNC(=O)Cn1ccc(N)nc1=O,COCCCNC(=O)CN1C=CC(N)=NC1=O
85149060,15.9934,13.57298,COc1ccc(CNC(=O)Cn2ccc(N)nc2=O)cc1,COC1=CC=C(CNC(=O)CN2C=CC(N)=NC2=O)C=C1
85149059,14.1707,4.89878,Nc1ccn(CC(=O)NCCCc2ccccc2)c(=O)n1,NC1=NC(=O)N(CC(=O)NCCCC2=CC=CC=C2)C=C1
85149058,11.8059,-3.28692,COC(=O)[C@H](CCSC)NC(=O)Cn1ccc(N)nc1=O,COC(=O)[C@H](CCSC)NC(=O)CN1C=CC(N)=NC1=O
85149057,3.1422,8.29808,Nc1ccn(CC(=O)NCc2ccccn2)c(=O)n1,NC1=NC(=O)N(CC(=O)NCC2=CC=CC=N2)C=C1
85149056,9.63,17.57788,Nc1ccn(CC(=O)NCc2ccccc2)c(=O)n1,NC1=NC(=O)N(CC(=O)NCC2=CC=CC=C2)C=C1
85149055,8.84019999999999,14.30588,CSc1ncnc2n(CC(=O)Nc3ccc(C)c(C)c3)ccc12,CSC1=NC=NC2=C1C=CN2CC(=O)NC1=CC(C)=C(C)C=C1
85149054,2.22699999999999,-5.54822,Cc1cc(C)c(CN2CCN(CC2)C(=O)Cn2ccc(NC(=O)OCc3ccccc3)nc2=O)c(C)c1,CC1=CC(C)=C(CN2CCN(CC2)C(=O)CN2C=CC(NC(=O)OCC3=CC=CC=C3)=NC2=O)C(C)=C1
85149053,7.4061,-20.43012,COc1ccc(CN(C)C(=O)Cn2ccc(NC(=O)OCc3ccccc3)nc2=O)cc1OC,COC1=C(OC)C=C(CN(C)C(=O)CN2C=CC(NC(=O)OCC3=CC=CC=C3)=NC2=O)C=C1
85149052,9.7803,5.97328,O=C(Cn1ccc(NC(=O)OCc2ccccc2)nc1=O)NCCc1ccccn1,O=C(CN1C=CC(NC(=O)OCC2=CC=CC=C2)=NC1=O)NCCC1=CC=CC=N1
85149051,7.6616,4.61708,O=C(Cn1ccc(NC(=O)OCc2ccccc2)nc1=O)NCCCN1CCCC1=O,O=C(CN1C=CC(NC(=O)OCC2=CC=CC=C2)=NC1=O)NCCCN1CCCC1=O
85149050,15.1089,16.69748,O=C(Cn1ccc(NC(=O)OCc2ccccc2)nc1=O)NCC1CCCO1,O=C(CN1C=CC(NC(=O)OCC2=CC=CC=C2)=NC1=O)NCC1CCCO1
85149049,10.2057,-10.35932,O=C(Nc1ccn(CC(=O)N2CCN(CC2)c2ccccn2)c(=O)n1)OCc1ccccc1,O=C(NC1=NC(=O)N(CC(=O)N2CCN(CC2)C2=CC=CC=N2)C=C1)OCC1=CC=CC=C1
85149048,13.3862,24.31698,O=C(Cn1ccc(NC(=O)OCc2ccccc2)nc1=O)NCc1ccc2OCOc2c1,O=C(CN1C=CC(NC(=O)OCC2=CC=CC=C2)=NC1=O)NCC1=CC2=C(OCO2)C=C1
85149047,7.2199,11.45288,CC(CNC(=O)Cn1ccc(NC(=O)OCc2ccccc2)nc1=O)c1ccccc1,CC(CNC(=O)CN1C=CC(NC(=O)OCC2=CC=CC=C2)=NC1=O)C1=CC=CC=C1
85149046,16.5642,6.72398,O=C(Cn1ccc(NC(=O)OCc2ccccc2)nc1=O)NCCCn1ccnc1,O=C(CN1C=CC(NC(=O)OCC2=CC=CC=C2)=NC1=O)NCCCN1C=CN=C1
85149045,15.9112,4.76628,C[C@@H](NC(=O)Cn1ccc(NC(=O)OCc2ccccc2)nc1=O)c1cccc2ccccc12,C[C@@H](NC(=O)CN1C=CC(NC(=O)OCC2=CC=CC=C2)=NC1=O)C1=CC=CC2=CC=CC=C12
85149044,15.0576,21.17968,O=C(Cn1ccc(NC(=O)OCc2ccccc2)nc1=O)NCc1nc2ccccc2[nH]1,O=C(CN1C=CC(NC(=O)OCC2=CC=CC=C2)=NC1=O)NCC1=NC2=CC=CC=C2N1
85149043,9.6593,14.22738,COCCCNC(=O)Cn1ccc(NC(=O)OCc2ccccc2)nc1=O,COCCCNC(=O)CN1C=CC(NC(=O)OCC2=CC=CC=C2)=NC1=O
85149042,21.5457,19.09348,COc1ccc(CNC(=O)Cn2ccc(NC(=O)OCc3ccccc3)nc2=O)cc1,COC1=CC=C(CNC(=O)CN2C=CC(NC(=O)OCC3=CC=CC=C3)=NC2=O)C=C1
85149041,18.272,16.28938,O=C(Cn1ccc(NC(=O)OCc2ccccc2)nc1=O)NCCCc1ccccc1,O=C(CN1C=CC(NC(=O)OCC2=CC=CC=C2)=NC1=O)NCCCC1=CC=CC=C1
85149040,6.49799999999999,-23.45712,COC(=O)[C@H](Cc1ccccc1)NC(=O)Cn1ccc(NC(=O)OCc2ccccc2)nc1=O,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)CN1C=CC(NC(=O)OCC2=CC=CC=C2)=NC1=O
85149038,12.476,14.55728,COC(=O)[C@H](CCSC)NC(=O)Cn1ccc(NC(=O)OCc2ccccc2)nc1=O,COC(=O)[C@H](CCSC)NC(=O)CN1C=CC(NC(=O)OCC2=CC=CC=C2)=NC1=O
85149037,11.3011,15.94238,O=C(Cn1ccc(NC(=O)OCc2ccccc2)nc1=O)NCCc1c[nH]c2ccccc12,O=C(CN1C=CC(NC(=O)OCC2=CC=CC=C2)=NC1=O)NCCC1=CNC2=CC=CC=C12
85149036,-6.2453,7.52808,O=C(Cn1ccc(NC(=O)OCc2ccccc2)nc1=O)NCc1ccccn1,O=C(CN1C=CC(NC(=O)OCC2=CC=CC=C2)=NC1=O)NCC1=CC=CC=N1
85149035,15.0515,6.08778,O=C(Cn1ccc(NC(=O)OCc2ccccc2)nc1=O)NCCN1CCOCC1,O=C(CN1C=CC(NC(=O)OCC2=CC=CC=C2)=NC1=O)NCCN1CCOCC1
85149034,6.8412,2.29198,Cc1ccc(CNC(=O)Cn2ccc(NC(=O)OCc3ccccc3)nc2=O)o1,CC1=CC=C(CNC(=O)CN2C=CC(NC(=O)OCC3=CC=CC=C3)=NC2=O)O1
85149023,14.3372,9.64538,CC1CCN(CC1)c1ccc2C(=O)c3c(cccc3S(=O)(=O)c2c1)C(=O)NCc1ccc(C)cc1,CC1CCN(CC1)C1=CC2=C(C=C1)C(=O)C1=C(C=CC=C1S2(=O)=O)C(=O)NCC1=CC=C(C)C=C1
85149020,15.6717,0.473080000000003,CC1CCN(CC1)c1ccc2C(=O)c3c(cccc3S(=O)(=O)c2c1)C(=O)NC1CCCCC1,CC1CCN(CC1)C1=CC2=C(C=C1)C(=O)C1=C(C=CC=C1S2(=O)=O)C(=O)NC1CCCCC1
85149016,15.8926,-3.99522,CC1CCN(CC1)c1ccc2C(=O)c3c(cccc3S(=O)(=O)c2c1)C(=O)NCc1ccc(F)cc1,CC1CCN(CC1)C1=CC2=C(C=C1)C(=O)C1=C(C=CC=C1S2(=O)=O)C(=O)NCC1=CC=C(F)C=C1
85149013,13.8788,10.16948,Brc1ccccc1CNC(=O)c1cccc2c1C(=O)c1ccc(cc1S2(=O)=O)N1CCOCC1,BrC1=CC=CC=C1CNC(=O)C1=C2C(=O)C3=C(C=C(C=C3)N3CCOCC3)S(=O)(=O)C2=CC=C1
85149011,13.3763,7.58148,CC1CCN(CC1)c1ccc2C(=O)c3c(cccc3S(=O)(=O)c2c1)C(=O)NCc1cccc(F)c1,CC1CCN(CC1)C1=CC2=C(C=C1)C(=O)C1=C(C=CC=C1S2(=O)=O)C(=O)NCC1=CC(F)=CC=C1
85149001,8.9716,-18.06532,O=C(NC1CCCC1)c1cccc2c1C(=O)c1ccc(cc1S2(=O)=O)N1CCCCC1,O=C(NC1CCCC1)C1=C2C(=O)C3=C(C=C(C=C3)N3CCCCC3)S(=O)(=O)C2=CC=C1
